 hotel ; restaurant ; chef ; hote 
Hôtel du Bois Blanc ; https://www.relaischateaux.com/fr/france/hotel-du-bois-blanc-ain-vonnas ; https://www.relaischateaux.com/fr/maitre-maison/georges-blanc-maitre-de-maison ; https://www.relaischateaux.com/fr/maitre-maison/anne-et-jean-milliau-le-coz;  
Hôtel et Restaurant Régis et Jacques Marcon ; https://www.relaischateaux.com/fr/france/cimes-haute-loire-saint-bonnet-le-froid ; https://www.relaischateaux.com/fr/chef/regis-jacques-marcon ; https://www.relaischateaux.com/fr/maitre-maison/michele-marcon-fran;  
Hôtel-Spa La Bouitte – Restaurant René et Maxime Meilleur ; https://www.relaischateaux.com/fr/france/la-bouitte-savoie ; https://www.relaischateaux.com/fr/chef/rene-et-maxime-meilleur ; https://www.relaischateaux.com/fr/maitre-maison/rene-et-maxime-meilleur-gm;  
Jiva Hill Resort ; https://www.relaischateaux.com/fr/france/jivahill-ain-crozet ; https://www.relaischateaux.com/fr/chef/vincent-betton ; https://www.relaischateaux.com/fr/maitre-maison/fabrice-mercier;  
L'Auberge Basque ; https://www.relaischateaux.com/fr/france/auberge-basque-saint-pee-sur-nivelle-pyrenees-atlantiques ; https://www.relaischateaux.com/fr/chef/cedric-bechade ; https://www.relaischateaux.com/fr/maitre-maison/cedric-marion-bechade;  
La Bastide ; https://www.relaischateaux.com/fr/france/labastide-gers-barbotan-les-thermes ; https://www.relaischateaux.com/fr/chef/jerome-artiguebere ; https://www.relaischateaux.com/fr/maitre-maison/eleonore-guerard-andreu-coma-roca;  
La Bastide Saint-Antoine ; https://www.relaischateaux.com/fr/france/saintantoine-alpes-maritimes-grasse ; https://www.relaischateaux.com/fr/chef/laurent-barberot ; https://www.relaischateaux.com/fr/maitre-maison/jacques-chibois;  
La Bastide de Capelongue ; https://www.relaischateaux.com/fr/france/capelongue-vaucluse-bonnieux-en-provence ; https://www.relaischateaux.com/fr/chef/edouard-loubet ; https://www.relaischateaux.com/fr/maitre-maison/famille-loubet;  
La Bastide de Saint-Tropez ; https://www.relaischateaux.com/fr/france/tropez-var-saint-tropez ; https://www.relaischateaux.com/fr/chef/philippe-colinet ; https://www.relaischateaux.com/fr/maitre-maison/famille-loubet;  
La Bonne Étape ; https://www.relaischateaux.com/fr/france/bonneetape-alpes-de-haute-provence-chateau-arnoux ; https://www.relaischateaux.com/fr/chef/jany-gleize ; https://www.relaischateaux.com/fr/maitre-maison/jany-gleize;  
La Chapelle Saint-Martin ; https://www.relaischateaux.com/fr/france/chapelle-haute-vienne-nieul ; https://www.relaischateaux.com/fr/chef/gilles-dudognon ; https://www.relaischateaux.com/fr/maitre-maison/aude-bourliataux-gilles-dudognon;  
La Côte Saint Jacques & Spa ; https://www.relaischateaux.com/fr/france/la-cote-saint-jacques-yonne-joigny ; https://www.relaischateaux.com/fr/chef/jean-michel-lorain ; https://www.relaischateaux.com/fr/maitre-maison/jean-michel-lorain;  
La Ferme Saint-Siméon ; https://www.relaischateaux.com/fr/france/simeon-calvados-honfleur ; https://www.relaischateaux.com/fr/chef/sebastien-faramond ; https://www.relaischateaux.com/fr/maitre-maison/david-vigier;  
La Grande Maison de Bernard Magrez ; https://www.relaischateaux.com/fr/france/grande-maison-bernard-magrez-gironde-bordeaux ; https://www.relaischateaux.com/fr/chef/jean-denis-le-bras-pierre-gagnaire ; https://www.relaischateaux.com/fr/maitre-maison/julien-gardin;  
